Service,S3,EC2-Other($),Tax($),EC2_ELB,EC2_Instances,CloudWatch($),SQS,CloudFront($),DynamoDB($),Route_53,SNS,QuickSight($),Lambda($),API Gateway($),CloudTrail($),Key Management Service($),Total cost ($)
2018-04-01,23.7450879319,65.13067184,1149.56,22.8093635193,7.0297347716,0.8846100068,0.2833986125,0.2558376688,0,0.5302612,0.0005611853,0,,,0,,1270.2295267362
2018-04-02,188.7816524891,64.2853695615,,24.979406816,21.6072261557,0.8983933393,0.4431841792,0.1587458386,0,0.0469164,0.0032116173,0.0034722222,,,0,,301.2075786189
2018-04-03,248.115167248,68.1014571854,18,24.8400761214,18.9470342372,0.9793733396,0.4590513416,0.3708021587,0,0.0443536,0.0017928097,0,6.12535E-05,5.719E-07,0,0,379.859169867
2018-04-04,171.6095604181,70.3789925109,,25.0127013223,21.2909023125,0.99030334,0.4907625476,0.1867298517,0,0.0482248,0.0022605925,0,,,0,,290.0104376956
2018-04-05,176.5223035829,70.3635364098,1.28,24.8145017399,18.95704334,1.0161366737,0.5086506958,0.3042060433,0,0.0468076,0.0080599295,0,,,0,,293.8212460149
2018-04-06,150.002939825,69.5773457005,,24.856537261,18.9776140674,0.9840533401,0.5388574162,0.4433656013,0.10656,0.0531728,0.0166915936,0,,,0,,265.5571376051
2018-04-07,92.3218710131,69.0512071006,,24.4051230899,11.9808877797,0.9773866734,0.4272962019,0.2495844423,0.10656,0.0420156,0.0021141509,0,,,0,,199.5640460518
2018-04-08,24.4017172081,69.8403007143,,24.1388548086,17.8929875403,0.9822133403,0.3766017206,0.3138723487,0.10656,0.0341804,0.0001765992,0,,,0,0,138.0874646801
2018-04-09,116.3388087485,69.032675512,,24.8237148134,20.0870362915,1.0104533399,0.5026029988,0.2683938822,0.10656,0.0500996,0.0051006052,0,,,0,,232.2254457915
2018-04-10,114.9089577669,73.035030979,,24.8784357602,21.447784382,1.0103800067,0.4910460116,0.298648717,0.10656,0.048366,0.002112516,0,,,0,0,236.2273221394
2018-04-11,127.5403875287,71.0170592042,,24.895270085,20.901737586,1.0170652944,0.506659279,0.2962526803,0.10656,0.048686,0.0082454753,0,,,0,0,246.3379231329
2018-04-12,120.2248627276,69.098841267,,23.9754327309,21.0850207712,1.1937900085,0.4718829153,0.2811399626,0.10656,0.0533876,0.0146400445,0,,,0,0,236.5055580276
2018-04-13,94.987207147,69.7568901454,,23.8651728466,19.4894048286,1.2096233413,0.4847282594,0.1078600388,0.10656,0.053542,0.0123697778,0,,,0,,210.0733583849
2018-04-14,22.1666681735,68.0294083067,,23.702541536,13.6133790512,1.2133733417,0.376107963,0.0571029216,0.10656,0.0423484,0.0127437322,0,,,0,,129.3202334259
2018-04-15,14.322992428,67.7612734973,,23.2151272865,8.1481850207,1.1996233415,0.3003077352,0.0343977041,0.10656,0.036354,0.0018634201,0,,,0,,115.1266844334
2018-04-16,102.6314117017,69.4798836913,,23.4744447099,19.9177174623,1.2125400083,0.4329041647,0.0386495888,0.10656,0.0498236,0.0087990676,0,,,0,0,217.3527339946
2018-04-17,103.95658235,68.6825743635,,23.6884681092,19.2828532202,1.2262900085,0.4487040742,0.0350829448,0.10656,0.048998,0.0083490285,0,,,0,0,217.4844620989
2018-04-18,88.4955409744,69.8445901563,10.44,23.9915240828,23.4835751957,1.2125400085,0.4227785031,0.0266489879,0.10656,0.0488984,0.0018062791,0,,,0,0,218.0744625878
2018-04-19,110.3192387507,70.7104419961,,24.2539756635,23.2008542141,1.2088833422,0.4330262271,0.0248453016,0.10656,0.047142,0.0106357653,0,,,0,0,230.3156032606
2018-04-20,98.327766213,71.3628364047,,24.1007733517,27.430834735,1.2003433421,0.4298696916,0.0280959581,0.10656,0.0450624,0.0024029324,0,,,0,,223.0345450286
2018-04-21,81.6535285589,70.9626243031,,24.1246462396,17.3921183494,1.1982600086,0.3714639334,0.0264660686,0.10656,0.0395576,0.0018961059,0,,,0,,195.8771211675
2018-04-22,19.8526339007,70.7714033599,,23.9322995054,14.3162313802,1.1999266752,0.3023818346,0.0474149556,0.10656,0.0315504,0.0029380651,0,,,0,,130.5633400767
2018-04-23,95.2136849121,72.8963337232,0.52,24.1598002776,26.7763335217,1.1980233415,0.3810185198,0.0775315864,0.10656,0.0392096,0.0013811036,0,,,0,0,221.3698765859
2018-04-24,99.5334047247,75.4621991409,0.94,23.9797554864,26.9832932626,1.2033800084,0.4070274803,0.0684062182,0.10656,0.0403748,0.0016853008,0,,,0,0,228.7260864223
2018-04-25,98.2375339657,82.1650321002,,24.2912516992,26.6962906981,1.2241733417,0.451952908,0.1306928199,0.10656,0.0443944,0.0025119816,0,,,0,,233.3503939144
2018-04-26,93.8600663188,83.9027956255,0.34,24.1422752577,26.7845225451,1.2394233415,0.4392632041,0.0443174279,0.10656,0.0420708,0.0020642389,0,,,0,,230.9033587595
2018-04-27,108.5028601774,88.0014575088,,24.3218946732,29.1711321265,1.2403101933,0.4973131189,0.0322295221,0.10656,0.044054,0.0023581025,0,,,0,0,251.9201694227
2018-04-28,62.9292497999,82.3744458352,,24.4623229884,18.8633474914,1.2539200079,0.4678221296,0.0352599986,0.10656,0.0370524,0.0014893012,0,,,0,0,190.5314699522
2018-04-29,15.8566465526,81.9404211404,,23.6628727136,17.9100158002,1.2117833416,0.3860190791,0.0286169681,0.10656,0.0292696,0.0002032286,0,,,0,,141.1324084242
2018-04-30,58.8338946594,84.7722865619,,24.4757456999,21.9369610877,1.2264939896,0.4552503538,0.032745112,0.10656,0.0387636,0.0084555301,0,,,0,,191.8871565944
