Service,EC2-Other($),EC2_ELB,Tax($),EC2_Instances,S3,CloudWatch($),SQS,Route_53,CloudFront($),DynamoDB($),SNS,CloudTrail($),QuickSight($),Key Management Service($),Total cost ($)
2018-05-01,80.5058153808,24.0842176551,735.04,24.9450686301,73.8595033062,0.9151877555,0.4831739363,0.5405816,0.0143425744,0,0.0018126165,0,0,,940.3897034549
2018-05-02,80.3995739725,24.5298904005,,23.5194303924,6.7116402634,0.8772777549,0.522020439,0.0450408,0.0329679383,0,0.0024822601,0,0,0,136.6403242211
2018-05-03,88.7560382453,24.3492777128,,21.4938174584,6.7411678376,0.9505180784,0.4668113476,0.042536,0.031666744,0,0.0018313709,0,0,,142.833664795
2018-05-04,87.0056965774,24.4555098729,25.52,25.4857368256,6.8596947473,0.947292272,0.456983712,0.0431656,0.0362740034,0,0.0045862161,0,0,0,170.8149398267
2018-05-05,80.8476832004,24.5323417411,,12.6948599256,6.8666698047,0.9456793686,0.3863609092,0.0378276,0.0329934888,0,0.001335397,0,0,,126.3457514354
2018-05-06,80.067405154,23.7676915843,,16.3997974068,6.4194283572,0.9142177555,0.3987345131,0.0302864,0.0288986147,0,0.0004493575,0,0,,128.0269091431
2018-05-07,88.6057861779,24.9973289284,,19.4490272893,8.2167348049,0.9331793686,0.5501251914,0.0488008,0.0345081026,0,0.0056296015,0,0,,142.8411202646
2018-05-08,85.5998248692,24.9020167207,,23.9337096854,10.5028577205,0.923905175,0.5087727464,0.0483408,0.0521563058,0,0.0028398342,0,0,0,146.4744238572
2018-05-09,81.4401246325,24.4960588994,,19.5026338263,6.6188819413,0.9353054975,0.4951477732,0.0445232,0.0555997704,0,0.0091407444,0,0,0,133.597416285
2018-05-10,80.9103081604,24.7995220228,,24.0480242924,6.4428758077,1.0569761054,0.4973819247,0.0450508,0.0879319786,0,0.0027358916,0,0,0,137.8908069836
2018-05-11,79.3985308549,24.8719154013,,25.2155714676,8.4750580479,1.123905172,0.5178059663,0.0441408,0.0343330462,0,0.0032550623,0,0,,139.6845158185
2018-05-12,77.0059083204,24.6040336901,,15.2750362939,7.1828553229,1.1226954943,0.3819702952,0.0364004,0.0662306098,0,0.0007726473,0,0,,125.6759030739
2018-05-13,76.6504653663,24.0193818428,,12.6636121621,6.5036823463,1.1206793653,0.3175796946,0.0317504,0.0699090445,0,0.0005337806,0,0,,121.3775940025
2018-05-14,79.4199476919,24.6371250043,,21.6947113438,6.5338631227,1.1271309784,0.4241332588,0.0407408,0.0377791629,0,0.0014428537,0,0,,133.9168742165
2018-05-15,78.6722791157,25.094007752,,18.8764544163,6.6538035195,1.1238151718,0.4740417936,0.0418992,0.0531822179,0,0.0017324356,0,0,,130.9912156224
2018-05-16,71.5680375009,25.174341639,4.7,19.9203914447,6.6142887672,1.1521309787,0.4746301351,0.0433408,0.0621617708,0,0.0036263033,0,0,0,129.7129493397
2018-05-17,67.8635887194,25.1205441834,,21.1185982854,4.7069545844,1.1202761399,0.4662929336,0.0445364,0.0566335914,0,0.0011218179,0,0,0,120.4985466554
2018-05-18,69.046335146,25.4503697139,,23.2103509843,20.1425960693,1.1598298676,0.5186067566,0.0451488,0.0514303398,0,0.0029066544,0,0,0,139.6275743319
2018-05-19,68.7083465123,25.5161700056,,14.9292449771,6.5121495169,1.121485817,0.4271703102,0.0373928,0.0559467565,0,0.0015325847,0,0,,117.3094392803
2018-05-20,68.5008070637,24.8453501833,,15.749511277,6.6424224954,1.1174535588,0.3436091493,0.0305784,0.0619505932,0,0.0003627574,0,0,,117.2920454781
2018-05-21,70.1601198954,25.11461321,,24.9719643881,6.8136675831,1.1317196702,0.4434563607,0.0413916,0.0655258407,0,0.0028824677,0,0,,128.7453410159
2018-05-22,71.0245864224,25.5574855091,,23.4186058727,6.6099741728,1.1283406558,0.4544718267,0.04403,0.085227465,0,0.0014465506,0,0,,128.3241684751
2018-05-23,71.5959944874,25.6207680332,,18.4200200465,6.5923885359,1.12793743,0.4448338818,0.0408852,0.0532653976,0.10656,0.0010845396,0,0,,124.003737552
2018-05-24,73.9214476241,25.8617221119,,21.9230274895,6.6780780139,1.1303343836,0.481101657,0.0432256,0.052659066,0.10656,0.001328274,0,0,0,130.19948422
2018-05-25,75.1534266731,25.7577769897,,22.3376261519,6.6076350495,1.2142277542,0.4706030546,0.0398612,0.0542776075,0.10656,0.0013232555,0,0,0,131.743317736
2018-05-26,75.4269208652,26.4505143899,,15.971889625,6.5241599585,1.2521309811,0.4345818038,0.0381924,0.052918988,0.10656,0.0018776476,0,0,,126.2597466591
2018-05-27,75.2405084543,25.7126511695,,16.888096868,6.5110645977,1.2497116262,0.3563808302,0.0327616,0.0463373404,0.10656,0.0001914942,0,0,,126.1442639805
2018-05-28,75.3354747103,26.3959459786,,42.608595979,6.7674033152,1.2803567874,0.4620330373,0.043464,0.0768967368,0.10656,0.0018666221,0,0,0,153.0785971667
2018-05-29,74.8082022318,26.2129389983,,51.7822568284,6.7461184782,1.1718890435,0.4567078675,0.0445404,0.0625104459,0.10656,0.002421583,0,0,,161.3941458766
2018-05-30,73.9569601996,26.9677415383,,49.0648383369,6.9945877066,1.2243083991,0.4803204966,0.0463824,0.0548156373,0.10656,0.0017926016,0,0,0,158.898307316
2018-05-31,74.6263475788,27.9479720652,,54.8801386108,6.6866984254,1.2810832391,0.4891005745,0.0448612,0.1067852765,0.10656,0.0021331725,0,0,,166.1716801428
